Kanji,Hiragana,English,PronunciationURL
会う,あう,to meet,https://minio.012140.xyz/jlpt/n5-vocabulary/0001_あう.mp3
青,あお,blue,https://minio.012140.xyz/jlpt/n5-vocabulary/0002_あお.mp3
青い,あおい,blue,https://minio.012140.xyz/jlpt/n5-vocabulary/0003_あおい.mp3
赤,あか,red,https://minio.012140.xyz/jlpt/n5-vocabulary/0004_あか.mp3
赤い,あかい,red,https://minio.012140.xyz/jlpt/n5-vocabulary/0005_あかい.mp3
明い,あかるい,bright,https://minio.012140.xyz/jlpt/n5-vocabulary/0006_あかるい.mp3
秋,あき,autumn,https://minio.012140.xyz/jlpt/n5-vocabulary/0007_あき.mp3
開く,あく,"to open, to become open",https://minio.012140.xyz/jlpt/n5-vocabulary/0008_あく.mp3
開ける,あける,to open,https://minio.012140.xyz/jlpt/n5-vocabulary/0009_あける.mp3
上げる,あげる,to give,https://minio.012140.xyz/jlpt/n5-vocabulary/0010_あげる.mp3
朝,あさ,morning,https://minio.012140.xyz/jlpt/n5-vocabulary/0011_あさ.mp3
朝御飯,あさごはん,breakfast,https://minio.012140.xyz/jlpt/n5-vocabulary/0012_あさごはん.mp3
足,あし,"foot, leg",https://minio.012140.xyz/jlpt/n5-vocabulary/0013_あし.mp3
明日,あした,tomorrow,https://minio.012140.xyz/jlpt/n5-vocabulary/0014_あした.mp3
遊ぶ,あそぶ,"to play, to make a visit",https://minio.012140.xyz/jlpt/n5-vocabulary/0015_あそぶ.mp3
暖かい,あたたかい,warm,https://minio.012140.xyz/jlpt/n5-vocabulary/0016_あたたかい.mp3
頭,あたま,head,https://minio.012140.xyz/jlpt/n5-vocabulary/0017_あたま.mp3
新しい,あたらしい,new,https://minio.012140.xyz/jlpt/n5-vocabulary/0018_あたらしい.mp3
,あちら,there,https://minio.012140.xyz/jlpt/n5-vocabulary/0019_あちら.mp3
暑い,あつい,hot,https://minio.012140.xyz/jlpt/n5-vocabulary/0020_あつい.mp3
熱い,あつい,hot to the touch,https://minio.012140.xyz/jlpt/n5-vocabulary/0020_あつい.mp3
厚い,あつい,"kind, deep, thick",https://minio.012140.xyz/jlpt/n5-vocabulary/0020_あつい.mp3
後,あと,afterwards,https://minio.012140.xyz/jlpt/n5-vocabulary/0023_あと.mp3
,あなた,you,https://minio.012140.xyz/jlpt/n5-vocabulary/0024_あなた.mp3
兄,あに,(humble) older brother,https://minio.012140.xyz/jlpt/n5-vocabulary/0025_あに.mp3
姉,あね,(humble) older sister,https://minio.012140.xyz/jlpt/n5-vocabulary/0026_あね.mp3
,あの,um...,https://minio.012140.xyz/jlpt/n5-vocabulary/0027_あの.mp3
危ない,あぶない,dangerous,https://minio.012140.xyz/jlpt/n5-vocabulary/0028_あぶない.mp3
甘い,あまい,sweet,https://minio.012140.xyz/jlpt/n5-vocabulary/0029_あまい.mp3
雨,あめ,rain,https://minio.012140.xyz/jlpt/n5-vocabulary/0030_あめ.mp3
飴,あめ,candy,https://minio.012140.xyz/jlpt/n5-vocabulary/0030_あめ.mp3
洗う,あらう,to wash,https://minio.012140.xyz/jlpt/n5-vocabulary/0032_あらう.mp3
歩く,あるく,to walk,https://minio.012140.xyz/jlpt/n5-vocabulary/0033_あるく.mp3
,あれ,that,https://minio.012140.xyz/jlpt/n5-vocabulary/0034_あれ.mp3
,いい/よい,good,https://minio.012140.xyz/jlpt/n5-vocabulary/0035_いいよい.mp3
,いいえ,no,https://minio.012140.xyz/jlpt/n5-vocabulary/0036_いいえ.mp3
言う,いう,to say,https://minio.012140.xyz/jlpt/n5-vocabulary/0037_いう.mp3
家,いえ,house,https://minio.012140.xyz/jlpt/n5-vocabulary/0038_いえ.mp3
,いかが,how,https://minio.012140.xyz/jlpt/n5-vocabulary/0039_いかが.mp3
行く,いく,to go,https://minio.012140.xyz/jlpt/n5-vocabulary/0040_いく.mp3
池,いけ,pond,https://minio.012140.xyz/jlpt/n5-vocabulary/0041_いけ.mp3
医者,いしゃ,medical doctor,https://minio.012140.xyz/jlpt/n5-vocabulary/0042_いしゃ.mp3
,いす,chair,https://minio.012140.xyz/jlpt/n5-vocabulary/0043_いす.mp3
忙しい,いそがしい,"busy, irritated",https://minio.012140.xyz/jlpt/n5-vocabulary/0044_いそがしい.mp3
痛い,いたい,painful,https://minio.012140.xyz/jlpt/n5-vocabulary/0045_いたい.mp3
一,いち,one,https://minio.012140.xyz/jlpt/n5-vocabulary/0046_いち.mp3
一日,いちにち,first of the month,https://minio.012140.xyz/jlpt/n5-vocabulary/0047_いちにち.mp3
,いつ,when,https://minio.012140.xyz/jlpt/n5-vocabulary/0048_いつ.mp3
五日,いつか,"five days, fifth day",https://minio.012140.xyz/jlpt/n5-vocabulary/0049_いつか.mp3
一緒,いっしょ,together,https://minio.012140.xyz/jlpt/n5-vocabulary/0050_いっしょ.mp3
五つ,いつつ,five,https://minio.012140.xyz/jlpt/n5-vocabulary/0051_いつつ.mp3
,いつも,always,https://minio.012140.xyz/jlpt/n5-vocabulary/0052_いつも.mp3
犬,いぬ,dog,https://minio.012140.xyz/jlpt/n5-vocabulary/0053_いぬ.mp3
今,いま,now,https://minio.012140.xyz/jlpt/n5-vocabulary/0054_いま.mp3
意味,いみ,meaning,https://minio.012140.xyz/jlpt/n5-vocabulary/0055_いみ.mp3
妹,いもうと,(humble) younger sister,https://minio.012140.xyz/jlpt/n5-vocabulary/0056_いもうと.mp3
嫌,いや,unpleasant,https://minio.012140.xyz/jlpt/n5-vocabulary/0057_いや.mp3
入口,いりぐち,entrance,https://minio.012140.xyz/jlpt/n5-vocabulary/0058_いりぐち.mp3
居る,いる,to be,https://minio.012140.xyz/jlpt/n5-vocabulary/0059_いる.mp3
要る,いる,to need,https://minio.012140.xyz/jlpt/n5-vocabulary/0059_いる.mp3
入れる,いれる,to put in,https://minio.012140.xyz/jlpt/n5-vocabulary/0061_いれる.mp3
色,いろ,colour,https://minio.012140.xyz/jlpt/n5-vocabulary/0062_いろ.mp3
,いろいろ,various,https://minio.012140.xyz/jlpt/n5-vocabulary/0063_いろいろ.mp3
上,うえ,on top of,https://minio.012140.xyz/jlpt/n5-vocabulary/0064_うえ.mp3
後ろ,うしろ,behind,https://minio.012140.xyz/jlpt/n5-vocabulary/0065_うしろ.mp3
薄い,うすい,"thin,weak",https://minio.012140.xyz/jlpt/n5-vocabulary/0066_うすい.mp3
歌,うた,song,https://minio.012140.xyz/jlpt/n5-vocabulary/0067_うた.mp3
歌う,うたう,to sing,https://minio.012140.xyz/jlpt/n5-vocabulary/0068_うたう.mp3
生まれる,うまれる,to be born,https://minio.012140.xyz/jlpt/n5-vocabulary/0069_うまれる.mp3
海,うみ,sea,https://minio.012140.xyz/jlpt/n5-vocabulary/0070_うみ.mp3
売る,うる,to sell,https://minio.012140.xyz/jlpt/n5-vocabulary/0071_うる.mp3
煩い,うるさい,"noisy, annoying",https://minio.012140.xyz/jlpt/n5-vocabulary/0072_うるさい.mp3
上着,うわぎ,jacket,https://minio.012140.xyz/jlpt/n5-vocabulary/0073_うわぎ.mp3
絵,え,picture,https://minio.012140.xyz/jlpt/n5-vocabulary/0074_え.mp3
映画,えいが,movie,https://minio.012140.xyz/jlpt/n5-vocabulary/0075_えいが.mp3
映画館,えいがかん,cinema,https://minio.012140.xyz/jlpt/n5-vocabulary/0076_えいがかん.mp3
,ええ,yes,https://minio.012140.xyz/jlpt/n5-vocabulary/0077_ええ.mp3
駅,えき,station,https://minio.012140.xyz/jlpt/n5-vocabulary/0078_えき.mp3
鉛筆,えんぴつ,pencil,https://minio.012140.xyz/jlpt/n5-vocabulary/0079_えんぴつ.mp3
,おいしい,delicious,https://minio.012140.xyz/jlpt/n5-vocabulary/0080_おいしい.mp3
多い,おおい,many,https://minio.012140.xyz/jlpt/n5-vocabulary/0081_おおい.mp3
大きい,おおきい,big,https://minio.012140.xyz/jlpt/n5-vocabulary/0082_おおきい.mp3
大きな,おおきな,big,https://minio.012140.xyz/jlpt/n5-vocabulary/0083_おおきな.mp3
大勢,おおぜい,great number of people,https://minio.012140.xyz/jlpt/n5-vocabulary/0084_おおぜい.mp3
お母さん,おかあさん,(honorable) mother,https://minio.012140.xyz/jlpt/n5-vocabulary/0085_おかあさん.mp3
お菓子,おかし,"sweets, candy",https://minio.012140.xyz/jlpt/n5-vocabulary/0086_おかし.mp3
お金,おかね,money,https://minio.012140.xyz/jlpt/n5-vocabulary/0087_おかね.mp3
起きる,おきる,to get up,https://minio.012140.xyz/jlpt/n5-vocabulary/0088_おきる.mp3
置く,おく,to put,https://minio.012140.xyz/jlpt/n5-vocabulary/0089_おく.mp3
奥さん,おくさん,(honorable) wife,https://minio.012140.xyz/jlpt/n5-vocabulary/0090_おくさん.mp3
お酒,おさけ,"alcohol, rice wine",https://minio.012140.xyz/jlpt/n5-vocabulary/0091_おさけ.mp3
お皿,おさら,"plate, dish",https://minio.012140.xyz/jlpt/n5-vocabulary/0092_おさら.mp3
伯父/叔父,おじいさん,"grandfather, male senior citizen",https://minio.012140.xyz/jlpt/n5-vocabulary/0093_おじいさん.mp3
教える,おしえる,"to teach, to tell",https://minio.012140.xyz/jlpt/n5-vocabulary/0094_おしえる.mp3
伯父/叔父,おじさん,"uncle, middle aged gentleman",https://minio.012140.xyz/jlpt/n5-vocabulary/0095_おじさん.mp3
押す,おす,"to push, to stamp something",https://minio.012140.xyz/jlpt/n5-vocabulary/0096_おす.mp3
遅い,おそい,"late, slow",https://minio.012140.xyz/jlpt/n5-vocabulary/0097_おそい.mp3
お茶,おちゃ,green tea,https://minio.012140.xyz/jlpt/n5-vocabulary/0098_おちゃ.mp3
お手洗い,おてあらい,bathroom,https://minio.012140.xyz/jlpt/n5-vocabulary/0099_おてあらい.mp3
お父さん,おとうさん,(honorable) father,https://minio.012140.xyz/jlpt/n5-vocabulary/0100_おとうさん.mp3
弟,おとうと,younger brother,https://minio.012140.xyz/jlpt/n5-vocabulary/0101_おとうと.mp3
男,おとこ,Man,https://minio.012140.xyz/jlpt/n5-vocabulary/0102_おとこ.mp3
男の子,おとこのこ,Boy,https://minio.012140.xyz/jlpt/n5-vocabulary/0103_おとこのこ.mp3
一昨日,おととい,day before yesterday,https://minio.012140.xyz/jlpt/n5-vocabulary/0104_おととい.mp3
一昨年,おととし,year before last,https://minio.012140.xyz/jlpt/n5-vocabulary/0105_おととし.mp3
大人,おとな,Adult,https://minio.012140.xyz/jlpt/n5-vocabulary/0106_おとな.mp3
,おなか,stomach,https://minio.012140.xyz/jlpt/n5-vocabulary/0107_おなか.mp3
同じ,おなじ,same,https://minio.012140.xyz/jlpt/n5-vocabulary/0108_おなじ.mp3
お兄さん,おにいさん,(honorable) older brother,https://minio.012140.xyz/jlpt/n5-vocabulary/0109_おにいさん.mp3
お姉さん,おねえさん,(honorable) older sister,https://minio.012140.xyz/jlpt/n5-vocabulary/0110_おねえさん.mp3
伯母さん/叔母さん,おばさん,Aunt,https://minio.012140.xyz/jlpt/n5-vocabulary/0111_おばさん.mp3
お風呂,おふろ,Bath,https://minio.012140.xyz/jlpt/n5-vocabulary/0112_おふろ.mp3
お弁当,おべんとう,boxed lunch,https://minio.012140.xyz/jlpt/n5-vocabulary/0113_おべんとう.mp3
覚える,おぼえる,to remember,https://minio.012140.xyz/jlpt/n5-vocabulary/0114_おぼえる.mp3
重い,おもい,Heavy,https://minio.012140.xyz/jlpt/n5-vocabulary/0115_おもい.mp3
,おもしろい,Interesting,https://minio.012140.xyz/jlpt/n5-vocabulary/0116_おもしろい.mp3
泳ぐ,およぐ,to swim,https://minio.012140.xyz/jlpt/n5-vocabulary/0117_およぐ.mp3
降りる,おりる,"to get off, to descend",https://minio.012140.xyz/jlpt/n5-vocabulary/0118_おりる.mp3
終る,おわる,to finish,https://minio.012140.xyz/jlpt/n5-vocabulary/0119_おわる.mp3
音楽,おんがく,Music,https://minio.012140.xyz/jlpt/n5-vocabulary/0120_おんがく.mp3
女,おんな,Woman,https://minio.012140.xyz/jlpt/n5-vocabulary/0121_おんな.mp3
女の子,おんなのこ,Girl,https://minio.012140.xyz/jlpt/n5-vocabulary/0122_おんなのこ.mp3
外国,がいこく,foreign country,https://minio.012140.xyz/jlpt/n5-vocabulary/0123_がいこく.mp3
外国人,がいこくじん,Foreigner,https://minio.012140.xyz/jlpt/n5-vocabulary/0124_がいこくじん.mp3
会社,かいしゃ,Company,https://minio.012140.xyz/jlpt/n5-vocabulary/0125_かいしゃ.mp3
階段,かいだん,Stairs,https://minio.012140.xyz/jlpt/n5-vocabulary/0126_かいだん.mp3
買い物,かいもの,Shopping,https://minio.012140.xyz/jlpt/n5-vocabulary/0127_かいもの.mp3
買う,かう,to buy,https://minio.012140.xyz/jlpt/n5-vocabulary/0128_かう.mp3
返す,かえす,to return something,https://minio.012140.xyz/jlpt/n5-vocabulary/0129_かえす.mp3
帰る,かえる,to go back,https://minio.012140.xyz/jlpt/n5-vocabulary/0130_かえる.mp3
,かぎ,Key,https://minio.012140.xyz/jlpt/n5-vocabulary/0131_かぎ.mp3
書く,かく,to write,https://minio.012140.xyz/jlpt/n5-vocabulary/0132_かく.mp3
学生,がくせい,Student,https://minio.012140.xyz/jlpt/n5-vocabulary/0133_がくせい.mp3
傘,かさ,Umbrella,https://minio.012140.xyz/jlpt/n5-vocabulary/0134_かさ.mp3
貸す,かす,to lend,https://minio.012140.xyz/jlpt/n5-vocabulary/0135_かす.mp3
風,かぜ,Wind,https://minio.012140.xyz/jlpt/n5-vocabulary/0136_かぜ.mp3
風邪,かぜ,a cold,https://minio.012140.xyz/jlpt/n5-vocabulary/0136_かぜ.mp3
家族,かぞく,Family,https://minio.012140.xyz/jlpt/n5-vocabulary/0138_かぞく.mp3
方,かた,"person, way of doing",https://minio.012140.xyz/jlpt/n5-vocabulary/0139_かた.mp3
学校,がっこう,School,https://minio.012140.xyz/jlpt/n5-vocabulary/0140_がっこう.mp3
家庭,かてい,Household,https://minio.012140.xyz/jlpt/n5-vocabulary/0141_かてい.mp3
角,かど,a corner,https://minio.012140.xyz/jlpt/n5-vocabulary/0142_かど.mp3
花瓶,かびん,a vase,https://minio.012140.xyz/jlpt/n5-vocabulary/0143_かびん.mp3
紙,かみ,paper,https://minio.012140.xyz/jlpt/n5-vocabulary/0144_かみ.mp3
火曜日,かようび,Tuesday,https://minio.012140.xyz/jlpt/n5-vocabulary/0145_かようび.mp3
辛い,からい,Spicy,https://minio.012140.xyz/jlpt/n5-vocabulary/0146_からい.mp3
体,からだ,Body,https://minio.012140.xyz/jlpt/n5-vocabulary/0147_からだ.mp3
借りる,かりる,to borrow,https://minio.012140.xyz/jlpt/n5-vocabulary/0148_かりる.mp3
軽い,かるい,Light,https://minio.012140.xyz/jlpt/n5-vocabulary/0149_かるい.mp3
川/河,かわ,River,https://minio.012140.xyz/jlpt/n5-vocabulary/0150_かわ.mp3
,かわいい,Cute,https://minio.012140.xyz/jlpt/n5-vocabulary/0151_かわいい.mp3
漢字,かんじ,Chinese character,https://minio.012140.xyz/jlpt/n5-vocabulary/0152_かんじ.mp3
木,き,"tree, wood",https://minio.012140.xyz/jlpt/n5-vocabulary/0153_き.mp3
黄色,きいろ,yellow,https://minio.012140.xyz/jlpt/n5-vocabulary/0154_きいろ.mp3
黄色い,きいろい,yellow,https://minio.012140.xyz/jlpt/n5-vocabulary/0155_きいろい.mp3
消える,きえる,to disappear,https://minio.012140.xyz/jlpt/n5-vocabulary/0156_きえる.mp3
